fecha,Amaluza,Mazar,Sopladora,Mazar_margen_sobre_min,Mazar_margen_bajo_max,Mazar_dentro_de_banda,Mazar_distancia_a_critico,Amaluza_margen_sobre_min,Amaluza_margen_bajo_max,Amaluza_dentro_de_banda,Sopladora_margen_sobre_min,Sopladora_margen_bajo_max,Sopladora_dentro_de_banda
2022-03-28,1984.33,2130.2,1315.34,32.2,22.8,True,15.2,9.33,6.67,True,3.34,2.66,True
2022-03-29,1985.67,2129.86,1315.45,31.86,23.14,True,14.86,10.67,5.33,True,3.45,2.55,True
2022-03-30,1986.75,2129.93,1315.81,31.93,23.07,True,14.93,11.75,4.25,True,3.81,2.19,True
2022-03-31,,,,,,False,,,,False,,,False
2022-04-01,1985.13,2131.19,1316.13,33.19,21.81,True,16.19,10.13,5.87,True,4.13,1.87,True
2022-04-02,1987.38,2131.36,1316.5,33.36,21.64,True,16.36,12.38,3.62,True,4.5,1.5,True
2022-04-03,1989.28,2130.93,1316.55,32.93,22.07,True,15.93,14.28,1.72,True,4.55,1.45,True
2022-04-04,1988.35,2130.96,1315.11,32.96,22.04,True,15.96,13.35,2.65,True,3.11,2.89,True
2022-04-05,1986.91,2130.83,1316.59,32.83,22.17,True,15.83,11.91,4.09,True,4.59,1.41,True
2022-04-06,1986.02,2130.76,1315.91,32.76,22.24,True,15.76,11.02,4.98,True,3.91,2.09,True
2022-04-07,1984.52,2130.77,1316.09,32.77,22.23,True,15.77,9.52,6.48,True,4.09,1.91,True
2022-04-08,1988.79,2127.93,1315.19,29.93,25.07,True,12.93,13.79,2.21,True,3.19,2.81,True
2022-04-09,1986.36,2131.53,1315.12,33.53,21.47,True,16.53,11.36,4.64,True,3.12,2.88,True
2022-04-10,1984.85,2132.99,1315.36,34.99,20.01,True,17.99,9.85,6.15,True,3.36,2.64,True
2022-04-11,1984.32,2133.04,1314.66,35.04,19.96,True,18.04,9.32,6.68,True,2.66,3.34,True
2022-04-12,1983.75,2132.86,1315.83,34.86,20.14,True,17.86,8.75,7.25,True,3.83,2.17,True
2022-04-13,1989.72,2130.11,1316.44,32.11,22.89,True,15.11,14.72,1.28,True,4.44,1.56,True
2022-04-14,1989.89,2130.28,1316.2,32.28,22.72,True,15.28,14.89,1.11,True,4.2,1.8,True
2022-04-15,1989.7,2131.13,1314.87,33.13,21.87,True,16.13,14.7,1.3,True,2.87,3.13,True
2022-04-16,1989.55,2131.28,1315.99,33.28,21.72,True,16.28,14.55,1.45,True,3.99,2.01,True
2022-04-17,1989.88,2131.24,1315.9,33.24,21.76,True,16.24,14.88,1.12,True,3.9,2.1,True
2022-04-18,1989.8,2131.61,1315.96,33.61,21.39,True,16.61,14.8,1.2,True,3.96,2.04,True
2022-04-19,1989.61,2133.85,1315.66,35.85,19.15,True,18.85,14.61,1.39,True,3.66,2.34,True
2022-04-20,1988.61,2136.46,1316.22,38.46,16.54,True,21.46,13.61,2.39,True,4.22,1.78,True
2022-04-21,1988.02,2141.09,1316.31,43.09,11.91,True,26.09,13.02,2.98,True,4.31,1.69,True
2022-04-22,1985.13,2143.18,1316.09,45.18,9.82,True,28.18,10.13,5.87,True,4.09,1.91,True
2022-04-23,1982.97,2144.59,1316.16,46.59,8.41,True,29.59,7.97,8.03,True,4.16,1.84,True
2022-04-24,1981.86,2145.76,1316.09,47.76,7.24,True,30.76,6.86,9.14,True,4.09,1.91,True
2022-04-25,1983.05,2145.91,1316.2,47.91,7.09,True,30.91,8.05,7.95,True,4.2,1.8,True
2022-04-26,1985.77,2145.4,1316.09,47.4,7.6,True,30.4,10.77,5.23,True,4.09,1.91,True
2022-04-27,1985.91,2145.15,1316.19,47.15,7.85,True,30.15,10.91,5.09,True,4.19,1.81,True
2022-04-28,1986.11,2145.24,1316.4,47.24,7.76,True,30.24,11.11,4.89,True,4.4,1.6,True
2022-04-29,1985.65,2146.32,1315.14,48.32,6.68,True,31.32,10.65,5.35,True,3.14,2.86,True
2022-04-30,,,,,,False,,,,False,,,False
2022-05-01,1985.03,2148.6,1316.26,50.6,4.4,True,33.6,10.03,5.97,True,4.26,1.74,True
2022-05-02,1984.76,2148.9,1316.1,50.9,4.1,True,33.9,9.76,6.24,True,4.1,1.9,True
